spread,sensitivity,alpha,final_pnl,final_inventory,std_inventory,sharpe,max_drawdown,hit_rate,trades,fill_rate
0.01,0.001,0.5,124.30371025596163,-1,3.5267693576561117,0.0032402155913533355,-1206.729841194552,0.239,913,0.913
0.01,0.01,0.5,-925.4181584089152,9,2.4167052911897358,-0.030210427745753044,-2351.8490940649313,0.033,93,0.093
0.01,0.02,0.5,-729.0126965467597,7,1.29327822550624,-0.04378197814287004,-1657.3378135299722,0.007,25,0.025
0.01,0.03,0.5,-600.7890235054961,6,1.0739689983465115,-0.0434433630090105,-1335.6943973821276,0.004,16,0.016
0.01,0.05,0.5,-408.8490198195416,4,0.7949565748869278,-0.054817919023991836,-0.0,0.0,4,0.004
0.05,0.001,0.5,710.8212136641798,-7,1.9516680066056338,0.013835843952055579,-0.9976960848759525,0.165,331,0.331
0.05,0.01,0.5,372.991331422132,-4,1.863811361912142,0.013020469093303469,-1.1846400953040725,0.047,94,0.094
0.05,0.02,0.5,491.6930500334404,-5,1.0784540152751358,0.03585790343656084,-1.9934295955508887,0.012,19,0.019
0.05,0.03,0.5,187.66013747611964,-2,0.7022279716189922,0.018788670034328492,-0.5119928989622464,0.006,10,0.01
0.05,0.05,0.5,284.7629754940567,-3,0.5747219373795517,0.03395547033045453,-0.5189059552695495,0.005,7,0.007
0.1,0.001,0.5,655.3540519538511,-7,2.6192616386171754,0.022399540310841907,-100.18035389759154,0.052,97,0.097
0.1,0.01,0.5,-801.0345404149266,8,5.420913696537264,-0.02504639575229643,-100.18035389759154,0.048,114,0.114
0.1,0.02,0.5,483.1594452935459,-5,1.3333239489159237,0.0389962824631044,-200.2601679850504,0.01,15,0.015
0.1,0.03,0.5,81.98192953758983,-1,0.8645133795282659,0.005113952986036553,-200.2701709850504,0.013,25,0.025
0.1,0.05,0.5,199.57718965703302,-2,0.6946989323488315,0.017914018801527026,-200.37573390592374,0.007,18,0.018
0.15,0.001,0.5,-727.4217536943321,7,2.2408168734326015,-0.03262688478698153,-6.142782570895762,0.021,49,0.049
0.15,0.01,0.5,-136.03910413707175,1,2.006365994654142,-0.005419664593680497,-4.083707765380931,0.034,73,0.073
0.15,0.02,0.5,-994.9896029012327,10,4.434805350688855,-0.04614789471032363,-10.819455145328641,0.018,64,0.064
0.15,0.03,0.5,-823.9758883574083,8,3.830201880638467,-0.05958467765282693,-9.131737510588883,0.006,26,0.026
0.15,0.05,0.5,184.29784172056856,-2,0.5712182510129471,0.02373842123505937,-1.0333911359885002,0.004,6,0.006
0.2,0.001,0.5,-430.2255715140064,4,1.2335285130845548,-0.033642115905649556,-110.55147405994285,0.006,16,0.016
0.2,0.01,0.5,-226.1738977872964,2,0.8428697582838225,-0.019091031623848363,-110.57846595994285,0.006,14,0.014
0.2,0.02,0.5,-944.2792879634071,9,4.167609502936782,-0.03904138564404233,-1044.24088819483,0.025,77,0.077
0.2,0.03,0.5,184.92355470818194,-2,0.9137017296967599,0.023789943555372298,-104.76687590185621,0.004,6,0.006
0.2,0.05,0.5,97.4661520492131,-1,0.46496364502097487,0.013408327436679086,-104.7868699018562,0.003,5,0.005
0.01,0.001,1.0,509.57540693870317,-5,2.901304632155777,0.00995742554222059,-723.9396485302696,0.189,541,0.541
0.01,0.01,1.0,-814.3930946876635,8,1.3719629303601035,-0.061552207847825946,-1894.3285989257392,0.003,16,0.016
0.01,0.02,1.0,-507.9940555470043,5,0.8880696299658422,-0.06332520461081784,-0.0,0.0,5,0.005
0.01,0.03,1.0,-304.3878418444537,3,0.4002389176369424,-0.04473579701070582,-0.0,0.0,3,0.003
0.01,0.05,1.0,-204.12246244686213,2,0.3868600013708585,-0.03162277660168378,-0.0,0.0,2,0.002
0.05,0.001,1.0,-150.16603029976278,1,2.378002080296376,-0.004677308661257451,-100.20536139759153,0.051,111,0.111
0.05,0.01,1.0,482.654497793546,-5,1.3333239489159237,0.038959642406544356,-200.3001799850504,0.01,15,0.015
0.05,0.02,1.0,-608.2442511427953,6,0.9382944081664326,-0.07763846680184062,-608.2442511427953,0.0,6,0.006
0.05,0.03,1.0,-404.01195660847435,4,0.5834821774925534,-0.06332885746861575,-404.01195660847435,0.0,4,0.004
0.05,0.05,1.0,100.3526204916671,-1,0.28404168651745426,0.013929870816435427,-100.20536139759153,0.003,5,0.005
0.1,0.001,1.0,-529.8577992738615,5,1.539912442423377,-0.04025344602937809,-110.90148905994279,0.006,17,0.017
0.1,0.01,1.0,-984.5013635097029,10,4.614221715743842,-0.07599432579188188,-984.5013635097029,0.004,18,0.018
0.1,0.02,1.0,186.3531975120348,-2,0.8925669026328927,0.023907242798950075,-104.90689390185618,0.004,6,0.006
0.1,0.03,1.0,97.25615504921313,-1,0.46496364502097487,0.013379616214315982,-104.91689090185618,0.003,5,0.005
0.1,0.05,1.0,-310.58110212070824,3,1.153687563855568,-0.05483419684352937,-310.58110212070824,0.0,5,0.005
0.15,0.001,1.0,-15.100046712266206,0,0.37493943454854084,-0.0034818519119725927,-104.18109397508789,0.001,2,0.002
0.15,0.01,1.0,-5.6418110913611486,0,0.12553788177183714,-0.001243515176339227,-104.18109397508789,0.001,2,0.002
0.15,0.02,1.0,-5.651808091361147,0,0.12553788177183714,-0.0012457783020141874,-104.18109397508789,0.001,2,0.002
0.15,0.03,1.0,-5.6618050913611455,0,0.12553788177183714,-0.0012480416413497423,-104.18109397508789,0.001,2,0.002
0.15,0.05,1.0,-0.5273369077453225,0,0.0316227766016838,-0.00011341386227383552,-104.18109397508789,0.001,2,0.002
0.2,0.001,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.01,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.02,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.03,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.2,0.05,1.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.01,0.001,1.5,889.2687643538759,-9,2.434713089427136,0.018249874080413585,-1.1948027208141567,0.122,291,0.291
0.01,0.01,1.5,-609.3280154434715,6,1.0203019239499727,-0.06737848204495805,-7.066276743877852,0.001,10,0.01
0.01,0.02,1.5,285.063794920825,-3,0.572967967946108,0.04080407929928007,-0.5166035621492716,0.004,5,0.005
0.01,0.03,1.5,197.6262993227013,-2,0.46752816234167394,0.024917397946730376,-1.0449673885521358,0.004,6,0.006
0.01,0.05,1.5,100.44513977348815,-1,0.0316227766016838,0.031622776601683805,0.0,0.001,1,0.001
0.05,0.001,1.5,-224.68047839486923,2,1.830249658875481,-0.011740526816234505,-1.7300546420979357,0.017,36,0.036
0.05,0.01,1.5,-798.6263763756982,8,3.839466825681074,-0.06386606618604326,-8.885455526569327,0.004,16,0.016
0.05,0.02,1.5,184.61865514733688,-2,0.569451732173391,0.029656201486827023,-1.0289567715181684,0.003,4,0.004
0.05,0.03,1.5,101.27840727587633,-1,0.14345584540052583,0.0316227766016838,0.0,0.001,1,0.001
